common_name,scientific_name,family,genus,species,plant_type,lifecycle,growth_habit,description,origin_region,native_range,medicinal_uses,agricultural_uses,cultural_significance,toxicity,precautions,is_published
Tulsi,Ocimum tenuiflorum,Lamiaceae,Ocimum,tenuiflorum,herb,perennial,upright,"Tulsi is a sacred medicinal herb known for its adaptogenic, antimicrobial, and immune-supporting properties.",India,Indian Subcontinent,Used for respiratory ailments and stress relief,Companion planting,Sacred in Hindu households,Non-toxic,Safe in moderate use,TRUE
Aloe Vera,Aloe vera,Asphodelaceae,Aloe,vera,succulent,perennial,rosette,"Aloe vera is a succulent plant widely used for skin care, burns, and digestive health.",Arabian Peninsula,Africa;Asia,Burn treatment and digestion support,Cosmetic ingredient,Symbol of healing,Non-toxic,Excess ingestion may cause discomfort,TRUE
Moringa,Drumstick tree,Moringaceae,Moringa,oleifera,tree,perennial,fast-growing,"Moringa is a nutrient-rich tree valued for its edible leaves, pods, and medicinal benefits.",India,South Asia;Africa,Nutritional supplement,Agroforestry,Used in traditional diets,Non-toxic,Wash leaves before use,TRUE
Curry Leaf,Murraya koenigii,Rutaceae,Murraya,koenigii,tree,perennial,aromatic,Curry leaf tree is cultivated for its aromatic leaves used in cooking and traditional medicine.,India,India;Sri Lanka,Digestive aid,Culinary farming,Essential in Indian cuisine,Non-toxic,None,TRUE
Hibiscus,Hibiscus rosa-sinensis,Malvaceae,Hibiscus,rosa-sinensis,shrub,perennial,flowering,"Hibiscus is a flowering shrub used in hair care, herbal remedies, and ornamentation.",Asia,Asia;Pacific,Hair growth treatments,Ornamental horticulture,Used in rituals,Non-toxic,None,TRUE
Rose,Rosa indica,Rosaceae,Rosa,indica,shrub,perennial,flowering,"Rose is a fragrant flowering plant valued for medicinal, cosmetic, and ornamental uses.",Asia,Worldwide,Skin tonics,Ornamental farming,Symbol of love,Non-toxic,Thorns may injure,TRUE
Jasmine,Jasminum sambac,Oleaceae,Jasminum,sambac,shrub,perennial,climbing,"Jasmine is a fragrant plant used in perfumery, medicine, and religious ceremonies.",India,South Asia,Stress relief,Ornamental,Religious offerings,Non-toxic,None,TRUE
Mint,Mentha spicata,Lamiaceae,Mentha,spicata,herb,perennial,spreading,"Mint is a fast-growing aromatic herb used in food, beverages, and medicine.",Europe,Worldwide,Digestive aid,Herb cultivation,Common culinary herb,Non-toxic,Can be invasive,TRUE
Lemongrass,Cymbopogon citratus,Poaceae,Cymbopogon,citratus,herb,perennial,clumping,"Lemongrass is an aromatic grass used in cooking, teas, and essential oils.",Southeast Asia,Tropics,Digestive tea,Essential oil extraction,Used in Ayurveda,Non-toxic,None,TRUE
Ashwagandha,Withania somnifera,Solanaceae,Withania,somnifera,shrub,perennial,bushy,Ashwagandha is an adaptogenic herb used to reduce stress and enhance vitality.,India,India;Middle East,Stress reduction,Medicinal farming,Ayurvedic medicine,Non-toxic,Avoid during pregnancy,TRUE
